"crn, julian, press, theta, sigma, temp, sal, oxy, xmiss, fluor, nit, "
"#, day, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, %, ug/l, umol/kg, "
"  3,   99,   32.0, 24.6187,  23.482, 24.6256, 35.0315,   222.7,  -9.000,  0.2699,  -9.000,"
"  3,   99,   34.0, 24.6230,  23.481, 24.6303, 35.0314,   222.0,  -9.000,  0.2602,  -9.000,"
"  3,   99,   36.0, 24.6191,  23.482, 24.6268, 35.0316,   225.5,  -9.000,  0.2678,  -9.000,"
"  3,   99,   38.0, 24.6193,  23.482, 24.6275, 35.0320,   224.6,  -9.000,  0.2675,  -9.000,"
"  3,   99,   40.0, 24.6193,  23.482, 24.6279, 35.0318,   224.2,  -9.000,  0.2675,  -9.000,"
"  3,   99,   42.0, 24.6155,  23.483, 24.6245, 35.0316,   224.2,  -9.000,  0.2748,  -9.000,"
"  3,   99,   44.0, 24.6196,  23.482, 24.6290, 35.0316,   224.8,  -9.000,  0.2776,  -9.000,"
"  3,   99,   46.0, 24.6189,  23.482, 24.6288, 35.0315,   224.6,  -9.000,  0.2794,  -9.000,"
"  3,   99,   48.0, 24.6150,  23.483, 24.6253, 35.0318,   223.7,  -9.000,  0.2887,  -9.000,"
"  3,   99,   50.0, 24.6190,  23.482, 24.6298, 35.0319,   224.1,  -9.000,  0.2807,  -9.000,"
"  3,   99,   52.0, 24.6189,  23.483, 24.6301, 35.0320,   223.8,  -9.000,  0.2813,  -9.000,"
"  3,   99,   54.0, 24.6189,  23.483, 24.6304, 35.0321,   223.6,  -9.000,  0.2847,  -9.000,"
