ID,year,latitude,longitude,depth,pressure,temp,conduct,salinity,oxygen,beamatt,fluor,smth
30017001,1990.159873,31.808,64.15,73,72.4798,20.684,5.0809,36.754,-9.99,0.415,0.205,21.54
30017001,1990.159873,31.808,64.15,75,74.4652,20.687,5.0813,36.754,-9.99,0.414,0.208,19.93
30017001,1990.159873,31.808,64.15,77,76.4506,20.687,5.0814,36.754,-9.99,0.415,0.204,18.37
30017001,1990.159873,31.808,64.15,79,78.4359,20.687,5.0815,36.754,-9.99,0.415,0.202,17.16
30017001,1990.159873,31.808,64.15,81,80.4212,20.687,5.0815,36.753,-9.99,0.415,0.206,15.7
30017001,1990.159873,31.808,64.15,83,82.4065,20.689,5.0818,36.753,-9.99,0.415,0.205,13.97
30017001,1990.159873,31.808,64.15,85,84.3918,20.689,5.0818,36.753,-9.99,0.413,0.207,12.78
30017001,1990.159873,31.808,64.15,87,86.3771,20.689,5.0819,36.753,-9.99,0.414,0.208,11.83
30017001,1990.159873,31.808,64.15,89,88.3624,20.689,5.082,36.753,-9.99,0.414,0.208,10.76
30017001,1990.159873,31.808,64.15,91,90.3476,20.69,5.0821,36.752,-9.99,0.415,0.209,9.59
30017001,1990.159873,31.808,64.15,93,92.3328,20.691,5.0823,36.752,-9.99,0.414,0.211,8.52
30017001,1990.159873,31.808,64.15,95,94.318,20.69,5.0823,36.752,-9.99,0.414,0.208,7.38
30017001,1990.159873,31.808,64.15,97,96.3032,20.69,5.0824,36.752,-9.99,0.414,0.211,6.05
30017001,1990.159873,31.808,64.15,99,98.2883,20.691,5.0826,36.752,-9.99,0.415,0.213,5.25
30017001,1990.159873,31.808,64.15,101,100.2735,20.692,5.0828,36.752,-9.99,0.415,0.213,4.55
30017001,1990.159873,31.808,64.15,103,102.2586,20.693,5.083,36.752,-9.99,0.414,0.211,4.06
30017001,1990.159873,31.808,64.15,105,104.2437,20.693,5.083,36.752,-9.99,0.414,0.213,3.72
30017001,1990.159873,31.808,64.15,107,106.2288,20.69,5.0828,36.752,-9.99,0.414,0.21,3.44
30017001,1990.159873,31.808,64.15,109,108.2138,20.691,5.0829,36.751,-9.99,0.414,0.198,3.29
30017001,1990.159873,31.808,64.15,111,110.1989,20.691,5.083,36.751,-9.99,0.415,0.198,3.12
30017001,1990.159873,31.808,64.15,113,112.1839,20.691,5.0831,36.751,-9.99,0.415,0.203,2.95
30017001,1990.159873,31.808,64.15,115,114.1689,20.691,5.0832,36.751,-9.99,0.416,0.205,2.78
30017001,1990.159873,31.808,64.15,117,116.1539,20.69,5.083,36.75,-9.99,0.414,0.205,2.5
